names	type	sgroup	shortname	celline	time
BSSE_QGF_29295_150210_D00535_0057_AC675WANXX_5_ATCACG_L005_R1_001_JW44_HMLE_Twist_ER_d8_OHT_E	SE	HTER_d8_4OHT_E	HTER_Day08_4OHT_GateE_replicate1	HTER	d8
BSSE_QGF_29296_150210_D00535_0057_AC675WANXX_5_CGATGT_L005_R1_001_JW44_HMLE_Twist_ER_d8_OHT_T	SE	HTER_d8_4OHT_EM	HTER_Day08_4OHT_GateEM_replicate1	HTER	d8
BSSE_QGF_29297_150210_D00535_0057_AC675WANXX_5_TTAGGC_L005_R1_001_JW44_HMLE_Twist_ER_d8_OHT_M	SE	HTER_d8_4OHT_M	HTER_Day08_4OHT_GateM_replicate1	HTER	d8
BSSE_QGF_29298_150210_D00535_0057_AC675WANXX_5_TGACCA_L005_R1_001_JW45_HMLE_Twist_ER_d8_OHT_E	SE	HTER_d8_4OHT_E	HTER_Day08_4OHT_GateE_replicate2	HTER	d8
BSSE_QGF_29299_150210_D00535_0057_AC675WANXX_5_ACAGTG_L005_R1_001_JW45_HMLE_Twist_ER_d8_OHT_T	SE	HTER_d8_4OHT_EM	HTER_Day08_4OHT_GateEM_replicate2	HTER	d8
BSSE_QGF_29300_150210_D00535_0057_AC675WANXX_5_GCCAAT_L005_R1_001_JW45_HMLE_Twist_ER_d8_OHT_M	SE	HTER_d8_4OHT_M	HTER_Day08_4OHT_GateM_replicate2	HTER	d8
BSSE_QGF_29301_150210_D00535_0057_AC675WANXX_5_CAGATC_L005_R1_001_JW47_HMLE_Twist_ER_d8_vehicle	SE	HTER_d8_ctrl	HTER_Day08_ctrl_GateAll_replicate1	HTER	d8
BSSE_QGF_29302_150210_D00535_0057_AC675WANXX_5_ACTTGA_L005_R1_001_JW47_HMLE_Twist_ER_d8_OHT_E	SE	HTER_d8_4OHT_E	HTER_Day08_4OHT_GateE_replicate3	HTER	d8
BSSE_QGF_29303_150210_D00535_0057_AC675WANXX_5_GATCAG_L005_R1_001_JW47_HMLE_Twist_ER_d8_OHT_T	SE	HTER_d8_4OHT_EM	HTER_Day08_4OHT_GateEM_replicate3	HTER	d8
BSSE_QGF_29304_150210_D00535_0057_AC675WANXX_5_TAGCTT_L005_R1_001_JW47_HMLE_Twist_ER_d8_OHT_M	SE	HTER_d8_4OHT_M	HTER_Day08_4OHT_GateM_replicate3	HTER	d8
BSSE_QGF_29305_150210_D00535_0057_AC675WANXX_5_GGCTAC_L005_R1_001_JW47_HMLE_Twist_ER_d12_vehicle	SE	HTER_d12_ctrl	HTER_Day12_ctrl_GateAll_replicate1	HTER	d12
BSSE_QGF_29306_150210_D00535_0057_AC675WANXX_7_CTTGTA_L007_R1_001_JW47_HMLE_Twist_ER_d12_OHT_E	SE	HTER_d12_4OHT_E	HTER_Day12_4OHT_GateE_replicate1	HTER	d12
BSSE_QGF_29307_150210_D00535_0057_AC675WANXX_7_AGTCAA_L007_R1_001_JW47_HMLE_Twist_ER_d12_OHT_M	SE	HTER_d12_4OHT_M	HTER_Day12_4OHT_GateM_replicate1	HTER	d12
BSSE_QGF_29308_150210_D00535_0057_AC675WANXX_7_AGTTCC_L007_R1_001_JW48_HMLE_Twist_ER_d8_vehicle	SE	HTER_d8_ctrl	HTER_Day08_ctrl_GateAll_replicate2	HTER	d8
BSSE_QGF_29309_150210_D00535_0057_AC675WANXX_7_ATGTCA_L007_R1_001_JW48_HMLE_Twist_ER_d8_OHT_E	SE	HTER_d8_4OHT_E	HTER_Day08_4OHT_GateE_replicate4	HTER	d8
BSSE_QGF_29310_150210_D00535_0057_AC675WANXX_7_CCGTCC_L007_R1_001_JW48_HMLE_Twist_ER_d8_OHT_T	SE	HTER_d8_4OHT_EM	HTER_Day08_4OHT_GateEM_replicate4	HTER	d8
BSSE_QGF_29311_150210_D00535_0057_AC675WANXX_6_GTCCGC_L006_R1_001_JW48_HMLE_Twist_ER_d8_OHT_M	SE	HTER_d8_4OHT_M	HTER_Day08_4OHT_GateM_replicate4	HTER	d8
BSSE_QGF_29312_150210_D00535_0057_AC675WANXX_6_GTGAAA_L006_R1_001_JW48_HMLE_Twist_ER_d12_vehicle	SE	HTER_d12_ctrl	HTER_Day12_ctrl_GateAll_replicate2	HTER	d12
BSSE_QGF_29313_150210_D00535_0057_AC675WANXX_6_GTGGCC_L006_R1_001_JW48_HMLE_Twist_ER_d12_OHT_E	SE	HTER_d12_4OHT_E	HTER_Day12_4OHT_GateE_replicate2	HTER	d12
BSSE_QGF_29314_150210_D00535_0057_AC675WANXX_6_GTTTCG_L006_R1_001_JW48_HMLE_Twist_ER_d12_OHT_M	SE	HTER_d12_4OHT_M	HTER_Day12_4OHT_GateM_replicate2	HTER	d12
BSSE_QGF_29315_150210_D00535_0057_AC675WANXX_6_CGTACG_L006_R1_001_JW52_HMLE_d8_vehicle	SE	HMLE_d8_ctrl	HMLE_Day08_ctrl_GateAll_replicate1	HMLE	d8
BSSE_QGF_29316_150210_D00535_0057_AC675WANXX_6_GAGTGG_L006_R1_001_JW52_HMLE_d8_4OHT	SE	HMLE_d8_4OHT	HMLE_Day08_4OHT_GateAll_replicate1	HMLE	d8
BSSE_QGF_29317_150210_D00535_0057_AC675WANXX_6_ACTGAT_L006_R1_001_JW52_HMLE_d12_ctrl	SE	HMLE_d12_ctrl	HMLE_Day12_ctrl_GateAll_replicate1	HMLE	d12
BSSE_QGF_29318_150210_D00535_0057_AC675WANXX_6_ATTCCT_L006_R1_001_JW52_HMLE_d12_4OHT	SE	HMLE_d12_4OHT	HMLE_Day12_4OHT_GateAll_replicate1	HMLE	d12
BSSE_QGF_29319_150210_D00535_0057_AC675WANXX_6_ATCACG_L006_R1_001_JW56_HMLE_d8_vehicle	SE	HMLE_d8_ctrl	HMLE_Day08_ctrl_GateAll_replicate2	HMLE	d8
BSSE_QGF_29320_150210_D00535_0057_AC675WANXX_6_CGATGT_L006_R1_001_JW56_HMLE_d8_4OHT	SE	HMLE_d8_4OHT	HMLE_Day08_4OHT_GateAll_replicate2	HMLE	d8
BSSE_QGF_29321_150210_D00535_0057_AC675WANXX_7_TTAGGC_L007_R1_001_JW56_HMLE_d12_ctrl	SE	HMLE_d12_ctrl	HMLE_Day12_ctrl_GateAll_replicate2	HMLE	d12
BSSE_QGF_29322_150210_D00535_0057_AC675WANXX_7_TGACCA_L007_R1_001_JW56_HMLE_d12_4OHT	SE	HMLE_d12_4OHT	HMLE_Day12_4OHT_GateAll_replicate2	HMLE	d12
BSSE_QGF_29323_150210_D00535_0057_AC675WANXX_7_ACAGTG_L007_R1_001_JW57_HMLE_d8_vehicle	SE	HMLE_d8_ctrl	HMLE_Day08_ctrl_GateAll_replicate3	HMLE	d8
BSSE_QGF_29324_150210_D00535_0057_AC675WANXX_7_GCCAAT_L007_R1_001_JW57_HMLE_d8_4OHT	SE	HMLE_d8_4OHT	HMLE_Day08_4OHT_GateAll_replicate3	HMLE	d8
BSSE_QGF_29325_150210_D00535_0057_AC675WANXX_7_CAGATC_L007_R1_001_JW57_HMLE_d12_ctrl	SE	HMLE_d12_ctrl	HMLE_Day12_ctrl_GateAll_replicate3	HMLE	d12
BSSE_QGF_29326_150210_D00535_0057_AC675WANXX_7_ACTTGA_L007_R1_001_JW57_HMLE_d12_4OHT	SE	HMLE_d12_4OHT	HMLE_Day12_4OHT_GateAll_replicate3	HMLE	d12
